Queries,Number of Overlapping Results,Percent Overlap,Spearman Correlation
Query 1,0.00,0.00,-1.33
Query 2,0.00,0.00,1.00
Query 3,1.00,10.00,-1.26
Query 4,0.00,0.00,-1.25
Query 5,4.00,40.00,-0.42
Query 6,1.00,10.00,-1.82
Query 7,2.00,20.00,-0.99
Query 8,0.00,0.00,1.00
Query 9,2.00,20.00,-1.08
Query 10,3.00,30.00,-0.13
Query 11,1.00,10.00,-0.97
Query 12,2.00,20.00,-1.30
Query 13,2.00,20.00,-0.24
Query 14,4.00,40.00,-0.09
Query 15,2.00,20.00,-0.87
Query 16,0.00,0.00,1.00
Query 17,0.00,0.00,1.00
Query 18,2.00,20.00,-0.64
Query 19,0.00,0.00,-1.25
Query 20,1.00,10.00,-0.84
Query 21,5.00,50.00,-0.25
Query 22,1.00,10.00,-0.73
Query 23,2.00,20.00,-0.64
Query 24,4.00,40.00,-0.35
Query 25,2.00,20.00,-1.22
Query 26,0.00,0.00,-1.33
Query 27,0.00,0.00,-1.33
Query 28,2.00,20.00,-0.83
Query 29,1.00,10.00,-0.73
Query 30,2.00,20.00,-0.85
Query 31,2.00,20.00,-0.94
Query 32,0.00,0.00,1.00
Query 33,2.00,20.00,-0.90
Query 34,0.00,0.00,1.00
Query 35,2.00,20.00,-1.16
Query 36,3.00,30.00,0.13
Query 37,0.00,0.00,-1.33
Query 38,0.00,0.00,-1.33
Query 39,0.00,0.00,-1.33
Query 40,3.00,30.00,-0.97
Query 41,1.00,10.00,-0.95
Query 42,2.00,20.00,-0.65
Query 43,0.00,0.00,-1.33
Query 44,0.00,0.00,-1.33
Query 45,4.00,40.00,-0.58
Query 46,0.00,0.00,-1.33
Query 47,0.00,0.00,1.00
Query 48,3.00,30.00,-0.62
Query 49,1.00,10.00,-0.88
Query 50,2.00,20.00,-1.01
Query 51,4.00,40.00,0.01
Query 52,0.00,0.00,1.00
Query 53,1.00,10.00,-1.05
Query 54,2.00,20.00,-0.71
Query 55,1.00,10.00,-0.84
Query 56,1.00,10.00,-1.18
Query 57,4.00,40.00,-0.42
Query 58,0.00,0.00,-1.33
Query 59,6.00,60.00,-0.20
Query 60,3.00,30.00,0.12
Query 61,1.00,10.00,-0.73
Query 62,4.00,40.00,-0.42
Query 63,1.00,10.00,-0.73
Query 64,1.00,10.00,-0.73
Query 65,1.00,10.00,-0.82
Query 66,1.00,10.00,-0.85
Query 67,2.00,20.00,-1.65
Query 68,2.00,20.00,-0.52
Query 69,1.00,10.00,-0.85
Query 70,1.00,10.00,-0.87
Query 71,1.00,10.00,-0.73
Query 72,2.00,20.00,-0.68
Query 73,0.00,0.00,1.00
Query 74,4.00,40.00,0.10
Query 75,3.00,30.00,-0.62
Query 76,2.00,20.00,-1.53
Query 77,5.00,50.00,0.19
Query 78,0.00,0.00,-1.33
Query 79,0.00,0.00,-1.33
Query 80,2.00,20.00,-0.63
Query 81,0.00,0.00,-1.33
Query 82,0.00,0.00,-1.33
Query 83,1.00,10.00,-0.73
Query 84,1.00,10.00,-0.73
Query 85,0.00,0.00,-1.33
Query 86,1.00,10.00,-1.21
Query 87,4.00,40.00,-0.05
Query 88,3.00,30.00,-0.60
Query 89,0.00,0.00,-1.33
Query 90,1.00,10.00,-0.95
Query 91,1.00,10.00,-1.33
Query 92,0.00,0.00,-1.33
Query 93,1.00,10.00,-0.84
Query 94,4.00,40.00,0.07
Query 95,0.00,0.00,-1.33
Query 96,1.00,10.00,-0.76
Query 97,2.00,20.00,-0.75
Query 98,2.00,20.00,-0.95
Query 99,2.00,20.00,-1.22
Query 100,4.00,40.00,-0.61
Averages,1.55,15.50,-0.69
